año,pib,tasa_crecimiento,poblacion,pibpc
2003,2842788.554,,8878329,320194.0989120813
2004,2962342.214,4.205506590765595,8931633,331668.6001316893
2005,2991075.244,0.9699429682434424,8977190,333186.13552793243
2006,3134225.217,4.785903440147643,9001741,348179.8928673909
2007,3142463.801,0.26285871083271406,9011907,348701.3127188285
2008,3183429.429,1.3036149529221053,9022695,352824.6747784337
2009,3008811.766,-5.485206029990497,9029228,333230.23474432144
2010,3125716.691,3.8854183675111287,9044151,345606.42463842104
2011,3231440.239,3.3823778176830244,9074286,356109.5869140558
2012,3332208.721,3.1183767777547944,9102171,366089.44404582155
2013,3363394.325,0.9358838719635054,9121489,368733.03525334515
2014,3412110.198,1.4484139619876268,9131261,373673.4935076327
2015,3503520.113,2.678984842095078,9152227,382805.20282112755
2016,3571368.188,1.9365687312096869,9196836,388325.74463652505
2017,3646318.179,2.0986352303813405,9246758,394334.768899543
2018,3694574.874,1.3234362069092453,9296268,397425.59853050706
2019,3679917.346,-0.3967311125063433,9343071,393865.9297355227
2020,3293855.308,-10.491051882446268,9332593,352941.0645037237
2021,3496055.811,6.1387184345621515,9272649,377028.80924318393
2022,3650377.619,4.414168890394743,9237644,395163.270959565
2023,3806101.519,4.26596687393288,9221637,412735.9945961872
2024,3853329.7586588757,1.2408560156137014,9204018,418657.3471128453
2025,3900049.564669142,1.2124528378418944,9183658,424672.7790461211
2026,3946228.0882821716,1.1840496600700874,9159966,430812.5257541536
2027,3991832.5343678715,1.1556464822982804,9132734,437090.63839676837
2028,4036830.1993394424,1.1272433045264734,9102136,443503.61270579154
2029,4081188.509418735,1.0988401267546664,9068610,450034.6259701029
2030,4124875.0591811957,1.0704369489828522,9032705,456659.9993225945
2031,4167857.650318125,1.0420337712110452,8994951,463355.2367676183
2032,4210104.3305527475,1.0136305934392382,8955799,470098.1264265474
2033,4251583.432645555,0.9852274156674312,8915667,476866.55778480234
2034,4292263.613423462,0.9568242378956242,8874820,483645.14586475695
2035,4332113.892766517,0.9284210601238172,8833389,490424.89725817763
2036,4371103.692485271,0.9000178823520102,8791338,497205.7373388751
2037,4409202.87502142,0.8716147045802032,8748390,504001.63630352786
2038,4446381.781903968,0.8432115268083962,8704119,510836.51107067446
2039,4482611.271892964,0.8148083490365892,8657948,517745.22922671336
2040,4517862.758742828,0.7864051712647822,8609423,524757.9029097337
2041,4552108.248517375,0.7580019934929751,8558319,531892.799101947
2042,4585320.376388904,0.729598815721161,8504596,539157.9301813871
2043,4617472.442854146,0.701195637949354,8448448,546546.8264531124
2044,4648538.449300445,0.672792460177547,8390214,554042.8944125196
2045,4678493.132856246,0.64438928240574,8330174,561632.1019052239
